;Absolute path;Relative path;Class
0;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0000.jpg;task2_dataset\tiger_0000.jpg;tiger
1;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0001.jpg;task2_dataset\tiger_0001.jpg;tiger
2;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0002.jpg;task2_dataset\tiger_0002.jpg;tiger
3;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0003.jpg;task2_dataset\tiger_0003.jpg;tiger
4;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0004.jpg;task2_dataset\tiger_0004.jpg;tiger
5;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0005.jpg;task2_dataset\tiger_0005.jpg;tiger
6;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0006.jpg;task2_dataset\tiger_0006.jpg;tiger
7;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0007.jpg;task2_dataset\tiger_0007.jpg;tiger
8;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0008.jpg;task2_dataset\tiger_0008.jpg;tiger
9;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0009.jpg;task2_dataset\tiger_0009.jpg;tiger
10;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0010.jpg;task2_dataset\tiger_0010.jpg;tiger
11;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0011.jpg;task2_dataset\tiger_0011.jpg;tiger
12;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0012.jpg;task2_dataset\tiger_0012.jpg;tiger
13;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0013.jpg;task2_dataset\tiger_0013.jpg;tiger
14;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0014.jpg;task2_dataset\tiger_0014.jpg;tiger
15;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0015.jpg;task2_dataset\tiger_0015.jpg;tiger
16;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0016.jpg;task2_dataset\tiger_0016.jpg;tiger
17;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0017.jpg;task2_dataset\tiger_0017.jpg;tiger
18;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0018.jpg;task2_dataset\tiger_0018.jpg;tiger
19;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0019.jpg;task2_dataset\tiger_0019.jpg;tiger
20;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0020.jpg;task2_dataset\tiger_0020.jpg;tiger
21;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0021.jpg;task2_dataset\tiger_0021.jpg;tiger
22;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0022.jpg;task2_dataset\tiger_0022.jpg;tiger
23;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0023.jpg;task2_dataset\tiger_0023.jpg;tiger
24;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0024.jpg;task2_dataset\tiger_0024.jpg;tiger
25;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0025.jpg;task2_dataset\tiger_0025.jpg;tiger
26;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0026.jpg;task2_dataset\tiger_0026.jpg;tiger
27;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0027.jpg;task2_dataset\tiger_0027.jpg;tiger
28;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0028.jpg;task2_dataset\tiger_0028.jpg;tiger
29;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0029.jpg;task2_dataset\tiger_0029.jpg;tiger
30;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0030.jpg;task2_dataset\tiger_0030.jpg;tiger
31;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0031.jpg;task2_dataset\tiger_0031.jpg;tiger
32;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0032.jpg;task2_dataset\tiger_0032.jpg;tiger
33;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0033.jpg;task2_dataset\tiger_0033.jpg;tiger
34;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0034.jpg;task2_dataset\tiger_0034.jpg;tiger
35;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0035.jpg;task2_dataset\tiger_0035.jpg;tiger
36;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0036.jpg;task2_dataset\tiger_0036.jpg;tiger
37;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0037.jpg;task2_dataset\tiger_0037.jpg;tiger
38;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0038.jpg;task2_dataset\tiger_0038.jpg;tiger
39;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task2_dataset\tiger_0039.jpg;task2_dataset\tiger_0039.jpg;tiger
